lat,lon,pop,deg
51.37500,4.62500,38244.57,0.25
51.37500,4.87500,42416.61,0.25
51.12500,2.87500,30440.75,0.25
51.12500,3.12500,57007.36,0.25
51.12500,3.37500,57716.11,0.25
51.12500,3.62500,40083.28,0.25
51.12500,3.87500,54314.62,0.25
51.12500,4.12500,149013.87,0.25
51.12500,4.37500,446333.01,0.25
51.12500,4.62500,92253.83,0.25
51.12500,4.87500,78023.90,0.25
51.12500,5.12500,31832.41,0.25
51.12500,5.37500,92244.01,0.25
51.12500,5.62500,45252.30,0.25
50.87500,2.62500,13721.56,0.25
50.87500,2.87500,202683.17,0.25
50.87500,3.12500,42838.69,0.25
50.87500,3.37500,98260.11,0.25
50.87500,3.62500,93516.40,0.25
50.87500,3.87500,143305.02,0.25
50.87500,4.12500,265218.70,0.25
50.87500,4.37500,1306933.43,0.25
50.87500,4.62500,73791.26,0.25
50.87500,4.87500,95907.30,0.25
50.87500,5.12500,53997.38,0.25
50.87500,5.37500,44375.16,0.25
50.87500,5.62500,133656.47,0.25
50.62500,3.37500,196881.75,0.25
50.62500,3.62500,54905.81,0.25
50.62500,3.87500,19702.79,0.25
50.62500,4.12500,38041.30,0.25
50.62500,4.37500,24143.33,0.25
50.62500,4.62500,53503.55,0.25
50.62500,4.87500,26447.73,0.25
50.62500,5.12500,23981.37,0.25
50.62500,5.37500,59328.54,0.25
50.62500,5.62500,538681.28,0.25
50.62500,5.87500,72746.22,0.25
50.62500,6.12500,10790.56,0.25
50.37500,3.87500,46047.34,0.25
50.37500,4.12500,14119.83,0.25
50.37500,4.37500,336662.24,0.25
50.37500,4.62500,31603.31,0.25
50.37500,4.87500,196681.32,0.25
50.37500,5.12500,18468.81,0.25
50.37500,5.37500,9064.73,0.25
50.37500,5.62500,7336.97,0.25
50.37500,5.87500,32769.87,0.25
50.37500,6.12500,8844.28,0.25
50.12500,4.37500,4274.50,0.25
50.12500,4.62500,7099.10,0.25
50.12500,4.87500,14698.37,0.25
50.12500,5.12500,7420.66,0.25
50.12500,5.37500,7079.01,0.25
50.12500,5.62500,7559.13,0.25
50.12500,5.87500,3482.31,0.25
49.87500,4.87500,10990.53,0.25
49.87500,5.12500,10305.35,0.25
49.87500,5.37500,6062.15,0.25
49.87500,5.62500,6189.15,0.25
49.62500,5.37500,7630.13,0.25
